ecosystem,file,name,constraint,before,stable,declared,after,note
"pub","pubspec.yaml","flutter_lints","^6.0.0","6.0.0","6.0.0","^6.0.0","6.0.0",""
"pub","pubspec.yaml","path_provider_platform_interface","^2.1.3","2.1.3","2.1.3","^2.1.3","2.1.3",""
"pub","pubspec.yaml","plugin_platform_interface","^2.1.8","2.1.8","2.1.8","^2.1.8","2.1.8",""
"pub","pubspec.yaml","riverpod_generator","^4.0.7","4.0.7","4.0.8","^4.0.8","4.0.8",""
"pub","pubspec.yaml","riverpod_lint","^3.1.7","3.1.7","3.1.8","^3.1.8","3.1.8",""
"pub","pubspec.yaml","url_launcher_platform_interface","^2.3.2","2.3.2","2.3.2","^2.3.2","2.3.2",""
"pub","pubspec.yaml","yaml","^3.1.3","3.1.3","3.1.4","^3.1.4","3.1.4",""
"pub","mobile/pubspec.yaml","cupertino_icons","^1.0.9","1.0.9","1.0.9","^1.0.9","1.0.9",""
"pub","mobile/pubspec.yaml","cryptography","^2.9.0","2.9.0","2.9.0","^2.9.0","2.9.0",""
"pub","mobile/pubspec.yaml","firebase_core","^4.12.1","4.12.1","4.14.0","^4.14.0","4.14.0",""
"pub","mobile/pubspec.yaml","firebase_messaging","^16.4.3","16.4.3","16.6.0","^16.6.0","16.6.0",""
"pub","mobile/pubspec.yaml","file_selector","^1.1.0","1.1.0","1.1.0","^1.1.0","1.1.0",""
"pub","mobile/pubspec.yaml","flutter_local_notifications","^21.0.0","21.0.0","22.3.0","^22.3.0","22.3.0",""
"pub","mobile/pubspec.yaml","flutter_riverpod","^3.4.1","3.4.1","3.4.2","^3.4.2","3.4.2",""
"pub","mobile/pubspec.yaml","flutter_secure_storage","^10.3.1","10.3.1","11.0.0","^11.0.0","11.0.0",""
"pub","mobile/pubspec.yaml","flutter_svg","^2.3.0","2.3.0","2.3.0","^2.3.0","2.3.0",""
"pub","mobile/pubspec.yaml","gpt_markdown","^1.1.8","1.1.8","1.2.1","^1.2.1","1.2.1",""
"pub","mobile/pubspec.yaml","http","^1.6.0","1.6.0","1.6.0","^1.6.0","1.6.0",""
"pub","mobile/pubspec.yaml","image_picker","^1.2.1","1.2.3","1.2.3","^1.2.3","1.2.3",""
"pub","mobile/pubspec.yaml","lucide_icons_flutter","^3.1.15","3.1.15","3.1.17","^3.1.17","3.1.17",""
"pub","mobile/pubspec.yaml","mobile_scanner","^7.4.0","7.4.0","7.4.0","^7.4.0","7.4.0",""
"pub","mobile/pubspec.yaml","riverpod_annotation","^4.0.5","4.0.5","4.0.6","^4.0.6","4.0.6",""
"pub","mobile/pubspec.yaml","shared_preferences","^2.5.5","2.5.5","2.5.5","^2.5.5","2.5.5",""
"pub","mobile/pubspec.yaml","package_info_plus","^10.2.1","10.2.1","10.2.1","^10.2.1","10.2.1",""
"pub","mobile/pubspec.yaml","url_launcher","^6.3.2","6.3.2","6.3.2","^6.3.2","6.3.2",""
"pub","mobile/pubspec.yaml","web_socket_channel","^3.0.3","3.0.3","3.0.3","^3.0.3","3.0.3",""
"pub","mobile/pubspec.yaml","logging","^1.3.0","1.3.0","1.3.0","^1.3.0","1.3.0",""
"pub","mobile/pubspec.yaml","path_provider","^2.1.6","2.1.6","2.1.6","^2.1.6","2.1.6",""
"pub","mobile/pubspec.yaml","record","^7.1.1","7.1.1","7.1.1","^7.1.1","7.1.1",""
"pub","mobile/pubspec.yaml","just_audio","^0.10.6","0.10.6","0.10.6","^0.10.6","0.10.6",""
"pub","mobile/pubspec.yaml","audio_session","^0.2.2","0.2.4","0.2.4","^0.2.4","0.2.4",""
"pub","mobile/pubspec.yaml","ffi","^2.2.0","2.2.0","2.2.0","^2.2.0","2.2.0",""
"pub","mobile/pubspec.yaml","crypto","^3.0.7","3.0.7","3.0.7","^3.0.7","3.0.7",""
"pub","mobile/pubspec.yaml","share_plus","^13.3.0","13.3.0","13.3.0","^13.3.0","13.3.0",""
"pub","mobile/pubspec.yaml","sentry_flutter","^9.25.0","9.25.0","9.28.0","^9.28.0","9.28.0",""
"pub","mobile/pubspec.yaml","path","^1.9.1","1.9.1","1.9.1","^1.9.1","1.9.1",""
"pub","mobile/pubspec.yaml","speech_to_text","^7.4.0","7.4.0","7.4.0","^7.4.0","7.4.0",""
"pub","mobile/pubspec.yaml","shared_preferences_platform_interface","^2.4.2","2.4.2","2.4.2","^2.4.2","2.4.2",""
"pub","mobile/pubspec.yaml","build_runner","^2.15.1","2.15.1","2.16.0","^2.16.0","2.16.0",""
"pub","mobile/pubspec.yaml","flutter_lints","^6.0.0","6.0.0","6.0.0","^6.0.0","6.0.0",""
"pub","mobile/pubspec.yaml","flutter_launcher_icons","^0.14.4","0.14.4","0.14.4","^0.14.4","0.14.4",""
"pub","mobile/pubspec.yaml","flutter_native_splash","^2.4.8","2.4.8","2.4.8","^2.4.8","2.4.8",""
"pub","mobile/pubspec.yaml","plugin_platform_interface","^2.1.8","2.1.8","2.1.8","^2.1.8","2.1.8",""
"pub","mobile/pubspec.yaml","riverpod_generator","^4.0.7","4.0.7","4.0.8","^4.0.8","4.0.8",""
"pub","mobile/pubspec.yaml","riverpod_lint","^3.1.7","3.1.7","3.1.8","^3.1.8","3.1.8",""
"pub","mobile/pubspec.yaml","stream_channel","^2.1.4","2.1.4","2.1.4","^2.1.4","2.1.4",""
"pub","mobile/pubspec.yaml","url_launcher_platform_interface","^2.3.2","2.3.2","2.3.2","^2.3.2","2.3.2",""
"pub","packages/alera_browser/pubspec.yaml","meta","^1.18.0","1.19.0","1.19.0","^1.19.0","1.19.0",""
"pub","packages/alera_browser/pubspec.yaml","flutter_lints","^6.0.0","6.0.0","6.0.0","^6.0.0","6.0.0",""
"pub","packages/alera_configuration/pubspec.yaml","crypto","^3.0.7","3.0.7","3.0.7","^3.0.7","3.0.7",""
"pub","packages/alera_configuration/pubspec.yaml","test","^1.26.0","1.31.2","1.31.2","^1.31.2","1.31.2",""
"pub","rust_builder/pubspec.yaml","plugin_platform_interface","^2.1.8","","2.1.8","^2.1.8","2.1.8",""
"pub","rust_builder/pubspec.yaml","ffi","^2.2.0","","2.2.0","^2.2.0","2.2.0",""
"pub","rust_builder/pubspec.yaml","ffigen","^21.0.0","","21.0.0","^21.0.0","21.0.0",""
"pub","rust_builder/pubspec.yaml","flutter_lints","^6.0.0","","6.0.0","^6.0.0","6.0.0",""
